Date,Visitor_ID,IP (a3.dress),Country (geoloc),store:Click Enables (a11) (d261),store:Click Enables (a11) (d261),Revenue,Gneder
2-Mar-13,11000070601197495305711_11511974400457474767471104,521.5.833.221.62,us,0,0,10,m
2-Mar-13,11000070601197495305711_11511974400457474767471104,521.5.833.221.62,us,0,0,11,m
2-Mar-13,1100007117436741171111311611_7111174470311114073113647,521.1.803.46.52224.8.3.9.81,us,0,0,12,m
2-Mar-13,11000114711653769311117411_7451111746743496911609611,521.4.8.3.9.81,us,0,0,13,f
2-Mar-13,11000114711653769311117411_7451111746743496911609611,521.2.223.835.52,us,0,0,14,m
2-Mar-13,110001174110114759113574611_53611079115115119117431140,521.44.83.2.63.33,us,0,0,15,f
2-Mar-13,1100011743467479536115511_1141111461174911745077439,521.05.83.1.821.861,us,0,0,16,f
2-Mar-13,110003300574661111504115_5053031147411116111111066,521.9.363.895.831,us,0,0,17,m
2-Mar-13,1100051161174937770441111_79466411571174907749039,521.9.363.895.831,na,0,0,18,f
2-Mar-13,1100051161174937770441111_79466411571174907749039,521.05.83.6.846.212,us,0,0,19,f
2-Mar-13,11000634749674911941151111_53573631165637761174611,521.84.53.861.820,us,0,0,20,f
2-Mar-13,11000649573931166911774_113594974051106707110119,521.01.83.0.241.13,us,0,0,21,f
2-Mar-13,11000649746706346747115_11755591134117035697113,521.20.83.8.0.888,au,0,0,22,m
2-Mar-13,110006503011119401101196_9111111411119774741107411039,521.62.23.1.9.813,us,0,0,23,m
2-Mar-13,110007114113651144343115_401111974741155374011117405,521.8.853.809.225,us,0,0,24,m
2-Mar-13,1100071191167469747411747411_7444011740561111336749741174,521.11.23.5.85.98,us,0,0,25,m
2-Mar-13,1100074607119374115941157_59674115474975545611741111,521.11.23.5.85.98,na,0,0,26,m
2-Mar-13,1100074607119374115941157_59674115474975545611741111,521.01.23.1.2.242,us,0,0,27,m
2-Mar-13,11000749496447459775911_116911771174117110711491176,521.01.23.1.2.242,us,0,0,28,m
2-Mar-13,11000749496447459775911_116911771174117110711491176,521.10.83.5.802.885,us,0,0,29,m
2-Mar-13,1100091111117407411597411060_75339546119934694935,521.10.83.5.802.885,au,0,0,30,m
2-Mar-13,1100091111117407411597411060_75339546119934694935,521.01.83.1.5.88,na,0,0,31,m
2-Mar-13,110009114111161111301101100_74557797435056634011511,521.9.803.89.832,us,0,0,32,m
2-Mar-13,110009747404093967411909_761107411511116661111465974,521.4.113.818.8,us,0,0,33,m
2-Mar-13,11001103119774591111341170_1157113399110674961100611,521.1.813.868.826,us,0,0,34,m
2-Mar-13,11001107495760495941111_117074117346741176995340,521.1.1.3.09.821,us,0,0,35,m
2-Mar-13,11001111069111136711116945_645741171174474411991177749,521.1.1.3.09.821,us,0,0,36,m
2-Mar-13,11001111069111136711116945_645741171174474411991177749,521.16.83.4.230.250,us,0,0,37,m
2-Mar-13,1100111111006749741154611743_673707474355405997447411,521.16.83.4.230.250,us,0,0,38,m
2-Mar-13,1100111111006749741154611743_673707474355405997447411,521.16.83.4.230.250,na,0,0,39,m
2-Mar-13,1100111111006749741154611743_673707474355405997447411,521.4.833.62.812,us,0,0,10,m
2-Mar-13,11001111367744733591160_744555745119011511611113411,521.4.833.62.812,us,0,0,11,m
2-Mar-13,11001111367744733591160_744555745119011511611113411,521.56.23.1.206.881,us,0,0,12,m
2-Mar-13,11001111911473955637549_607699505331111974511611,521.21.23.2.33.46,us,0,0,13,m
